fold,lgbm_auc,cb_auc,blend_auc,val_rows
0,0.7875677225034661,0.7892492274395584,0.7920492796568936,20534
1,0.7600516508144685,0.7627281653917097,0.763828859903239,7618
2,0.7842280721715433,0.7911416568122001,0.7908992719827403,7612
3,0.7563173131497709,0.7544049880947437,0.7587423457969369,9548
4,0.7640103289739701,0.7599590378165673,0.7655389229883853,4226
